person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_income_orig,loan_amnt_orig,person_gender_male,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,approx_emi,balance_income,dti,credit_age_ratio,income_exp_ratio,log_person_income,log_loan_amnt
22.0,71948.0,0,23093.125,16.02,0.49,3.0,561,0,1,71948.0,35000.0,0,0,0,0,1,0,0,1,0,0,0,1,0,3699.518625,68248.481375,0.32096519757050135,0.13043478260869565,71948.0,11.183712813678275,10.04733353515845
21.0,12282.0,0,1000.0,11.14,0.08,2.0,504,1,0,12282.0,1000.0,0,0,0,1,0,0,1,0,1,0,0,0,0,111.4,12170.6,0.08141333550435562,0.09090909090909091,12282.0,9.415971471539095,6.90875477931522
25.0,12438.0,3,5500.0,12.87,0.44,3.0,635,0,1,12438.0,5500.0,0,0,0,1,0,0,0,0,0,0,1,0,0,707.8499999999999,11730.15,0.4421577297210387,0.11538461538461539,3109.5,9.428591977209965,8.612685172875459
23.0,79753.0,0,23093.125,15.23,0.44,2.0,675,0,1,79753.0,35000.0,0,1,0,0,0,0,0,1,0,0,1,0,0,3517.0829375,76235.9170625,0.289554442410412,0.08333333333333333,79753.0,11.286702176129095,10.04733353515845
24.0,66135.0,1,23093.125,14.27,0.53,4.0,586,0,1,66135.0,35000.0,1,0,0,0,1,0,0,1,0,0,1,0,0,3295.3889375,62839.6110625,0.34917631849522196,0.16,33067.5,11.099468506932512,10.04733353515845
21.0,12951.0,0,2500.0,7.14,0.19,2.0,532,0,1,12951.0,2500.0,0,0,0,1,0,0,1,0,0,0,0,0,1,178.49999999999997,12772.5,0.19302038295243978,0.09090909090909091,12951.0,9.469005495357472,7.824445930877619
26.0,93471.0,1,23093.125,12.42,0.37,3.0,701,0,1,93471.0,35000.0,0,1,0,0,0,0,0,1,1,0,0,0,0,2868.166125,90602.833875,0.24705927978432043,0.1111111111111111,46735.5,11.445417205187468,10.04733353515845
24.0,95550.0,5,23093.125,11.11,0.37,4.0,585,0,1,95550.0,35000.0,0,0,0,1,0,0,0,1,0,0,1,0,0,2565.6461875,92984.3538125,0.2416837605048613,0.16,15925.0,11.467415415338404,10.04733353515845
24.0,100684.0,3,23093.125,8.9,0.35,2.0,544,0,1,100684.0,35000.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2055.288125,98628.711875,0.22936013308834483,0.08,25171.0,11.519752110312506,10.04733353515845
21.0,12739.0,0,1600.0,14.74,0.13,3.0,640,0,1,12739.0,1600.0,0,0,0,1,0,0,1,0,0,0,0,0,1,235.84,12503.16,0.12558869701726844,0.13636363636363635,12739.0,9.452501929126154,7.3783837129967145
22.0,102985.0,0,23093.125,10.37,0.34,4.0,621,0,1,102985.0,35000.0,0,0,0,1,0,0,0,1,0,0,0,0,1,2394.7570625,100590.2429375,0.2242355757093197,0.17391304347826086,102985.0,11.542348335643398,10.04733353515845
21.0,13113.0,0,4500.0,8.63,0.34,2.0,651,0,1,13113.0,4500.0,0,0,0,0,0,0,1,0,0,1,0,0,0,388.35,12724.65,0.3431447308220223,0.09090909090909091,13113.0,9.481435640823564,8.412054873292933
23.0,114860.0,3,23093.125,7.9,0.3,2.0,573,0,1,114860.0,35000.0,1,1,0,0,0,0,0,1,0,0,0,0,1,1824.356875,113035.643125,0.20105279424695938,0.08333333333333333,28715.0,11.651477980631476,10.04733353515845
26.0,130713.0,0,23093.125,18.39,0.27,4.0,708,0,1,130713.0,35000.0,1,0,0,0,1,0,0,1,1,0,0,0,0,4246.8256875,126466.1743125,0.17666910200896613,0.14814814814814814,130713.0,11.780767009407606,10.04733353515845
23.0,138998.0,0,23093.125,7.9,0.25,4.0,583,0,0,138998.0,35000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1824.356875,137173.643125,0.16613878517111633,0.16666666666666666,138998.0,11.842222017842346,10.04733353515845
23.0,168667.125,5,23093.125,10.65,0.05,3.0,670,1,0,600891.0,30000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2459.4178125,166207.7071875,0.13691457707257965,0.125,28111.1875,12.035688305809174,10.04733353515845
23.0,144943.0,0,23093.125,7.9,0.24,4.0,663,0,0,144943.0,35000.0,1,1,0,0,0,0,0,1,1,0,0,0,0,1824.356875,143118.643125,0.15932446324097582,0.16666666666666666,144943.0,11.88410273990907,10.04733353515845
23.0,111369.0,0,23093.125,20.0,0.31,4.0,694,0,1,111369.0,35000.0,0,0,0,1,0,0,0,1,0,0,1,0,0,4618.625,106750.375,0.2073549878782437,0.16666666666666666,111369.0,11.620613270387146,10.04733353515845
23.0,136628.0,0,23093.125,18.25,0.26,4.0,709,0,1,136628.0,35000.0,1,1,0,0,0,0,0,1,0,0,0,0,0,4214.4953125,132413.5046875,0.16902066911124286,0.16666666666666666,136628.0,11.825024502268935,10.04733353515845
24.0,14283.0,1,1750.0,10.99,0.12,2.0,679,0,1,14283.0,1750.0,0,0,0,0,1,0,0,0,1,0,0,0,0,192.325,14090.675,0.12251470176421171,0.08,7141.5,9.566895308714338,7.467942332285852
25.0,168667.125,0,23093.125,7.49,0.18,4.0,684,1,0,195718.0,35000.0,1,1,0,0,0,0,0,1,0,0,0,0,1,1729.6750625000002,166937.4499375,0.13691457707257965,0.15384615384615385,168667.125,12.035688305809174,10.04733353515845
25.0,165792.0,4,23093.125,16.77,0.21,2.0,662,0,0,165792.0,34800.0,1,0,0,1,0,0,0,1,0,0,0,1,0,3872.7170625,161919.2829375,0.1392889024265198,0.07692307692307693,33158.4,12.018495301250445,10.04733353515845
22.0,79255.0,0,23093.125,17.58,0.43,4.0,691,0,1,79255.0,34000.0,0,0,0,0,1,0,0,1,1,0,0,0,0,4059.771375,75195.228625,0.2913738392046028,0.17391304347826086,79255.0,11.280438398652866,10.04733353515845
24.0,13866.0,0,1500.0,7.29,0.11,3.0,600,1,0,13866.0,1500.0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.35000000000001,13756.65,0.10817047667123386,0.12,13866.0,9.537267195753865,7.313886831633462
22.0,97420.0,1,23093.125,14.54,0.35,4.0,691,0,1,97420.0,33950.0,1,1,0,0,0,0,0,1,0,0,0,1,0,3357.740375,94062.259625,0.23704463103437656,0.17391304347826086,48710.0,11.486797072140535,10.04733353515845
24.0,82443.0,0,23093.125,12.68,0.4,3.0,654,0,1,82443.0,33000.0,0,0,0,1,0,0,0,1,0,1,0,0,0,2928.20825,79514.79175,0.28010679976711467,0.12,82443.0,11.319874553963189,10.04733353515845
21.0,14288.0,0,4575.0,17.74,0.32,3.0,626,0,1,14288.0,4575.0,0,0,0,0,0,0,0,0,0,0,0,0,1,811.6049999999999,13476.395,0.3201763594373294,0.13636363636363635,14288.0,9.56724528946897,8.428580533059634
23.0,14293.0,0,1400.0,9.32,0.1,3.0,607,0,0,14293.0,1400.0,1,0,0,1,0,0,1,0,0,0,0,1,0,130.48000000000002,14162.52,0.0979431929480901,0.125,14293.0,9.567595147779924,7.244941546337007
24.0,79054.0,1,23093.125,9.99,0.41,3.0,700,0,1,79054.0,32500.0,0,1,0,0,0,0,0,1,0,1,0,0,0,2307.0031875,76746.9968125,0.2921146670039846,0.12,39527.0,11.277899091744246,10.04733353515845
21.0,14988.0,0,4000.0,12.84,0.27,2.0,553,0,1,14988.0,4000.0,0,1,0,0,0,1,0,0,1,0,0,0,0,513.5999999999999,14474.4,0.26686236573487226,0.09090909090909091,14988.0,9.615071877730596,8.294299608857235
21.0,14858.0,0,2000.0,11.12,0.13,3.0,589,0,1,14858.0,2000.0,1,0,0,1,0,0,1,0,0,0,1,0,0,222.39999999999998,14635.6,0.1345985597954102,0.13636363636363635,14858.0,9.606361021256347,7.601402334583733
25.0,144855.0,1,23093.125,6.62,0.22,2.0,586,1,0,144855.0,32000.0,1,1,0,0,0,0,0,1,0,0,0,0,1,1528.7648749999998,143326.235125,0.1594212528303971,0.07692307692307693,72427.5,11.88349542450048,10.04733353515845
26.0,114645.0,2,23093.125,14.17,0.27,3.0,681,0,1,114645.0,31050.0,1,1,0,0,0,0,0,1,0,1,0,0,0,3272.2958125,111372.7041875,0.20142983619140659,0.1111111111111111,38215.0,11.649604398885447,10.04733353515845
25.0,168667.125,3,23093.125,13.85,0.07,3.0,567,1,0,368115.0,24250.0,0,0,0,1,0,0,0,1,0,0,0,0,0,3198.3978124999994,165468.7271875,0.13691457707257965,0.11538461538461539,42166.78125,12.035688305809174,10.04733353515845
26.0,168667.125,1,7800.0,13.49,0.02,4.0,669,0,0,361076.0,7800.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1052.22,167614.905,0.0462446594458793,0.14814814814814814,84333.5625,12.035688305809174,8.962007209588313
21.0,15150.0,0,2500.0,7.51,0.17,4.0,600,0,1,15150.0,2500.0,1,0,0,0,0,0,1,0,1,0,0,0,0,187.75,14962.25,0.1650056101907465,0.18181818181818182,15150.0,9.625821815359835,7.824445930877619
22.0,58868.0,0,23093.125,18.39,0.51,2.0,606,0,1,58868.0,30000.0,0,1,0,0,0,0,0,1,1,0,0,0,0,4246.8256875,54621.1743125,0.39227989264298696,0.08695652173913043,58868.0,10.983069915297433,10.04733353515845
24.0,78026.0,3,23093.125,14.54,0.38,3.0,582,0,1,78026.0,30000.0,1,0,0,1,0,0,0,1,0,0,0,0,0,3357.740375,74668.259625,0.2959632563087137,0.12,19506.5,11.264810199620461,10.04733353515845
25.0,90785.0,4,23093.125,16.89,0.33,4.0,649,0,1,90785.0,30000.0,1,1,0,0,0,0,0,1,0,1,0,0,0,3900.4288125,86884.5711875,0.25436879034212323,0.15384615384615385,18157.0,11.416260367679627,10.04733353515845
23.0,86811.0,0,23093.125,11.01,0.35,4.0,602,0,1,86811.0,30000.0,0,0,0,1,0,0,0,1,0,0,0,0,0,2542.5530625,84268.4469375,0.2660130511910796,0.16666666666666666,86811.0,11.371500139940876,10.04733353515845
26.0,75503.0,5,23093.125,17.99,0.4,2.0,616,0,1,75503.0,30000.0,1,1,0,0,0,0,0,1,0,0,1,0,0,4154.453187499999,71348.5468125,0.3058530011655012,0.07407407407407407,12583.833333333334,11.231940913966168,10.04733353515845
24.0,15082.0,0,2500.0,12.69,0.17,3.0,631,0,1,15082.0,2500.0,0,0,0,1,0,0,1,0,0,0,0,0,1,317.24999999999994,14764.75,0.16574951932639395,0.12,15082.0,9.621323560768252,7.824445930877619
26.0,168667.125,5,20000.0,7.88,0.06,4.0,684,1,0,361293.0,20000.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1576.0,167091.125,0.11857604986122897,0.14814814814814814,28111.1875,12.035688305809174,9.90353755128617
23.0,168667.125,0,23093.125,19.41,0.07,2.0,637,1,0,361547.0,24250.0,1,0,0,1,0,0,1,0,1,0,0,0,0,4482.375562499999,164184.7494375,0.13691457707257965,0.08333333333333333,168667.125,12.035688305809174,10.04733353515845
26.0,168667.125,5,10000.0,10.38,0.03,4.0,649,0,0,360680.0,10000.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1038.0,167629.125,0.05928802493061448,0.14814814814814814,28111.1875,12.035688305809174,9.210440366976517
26.0,168667.125,5,23093.125,15.33,0.07,3.0,695,1,0,360977.0,25000.0,1,1,0,0,0,0,0,0,1,0,0,0,0,3540.1760624999997,165126.9489375,0.13691457707257965,0.1111111111111111,28111.1875,12.035688305809174,10.04733353515845
25.0,168667.125,2,18000.0,16.45,0.05,3.0,620,0,0,361244.0,18000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,2960.9999999999995,165706.125,0.10671844487510607,0.11538461538461539,56222.375,12.035688305809174,9.798182590890704
26.0,98230.0,2,23093.125,7.49,0.31,3.0,622,0,1,98230.0,30000.0,1,1,0,0,0,0,0,1,0,0,0,1,0,1729.6750625000002,96500.3249375,0.23508999195773228,0.1111111111111111,32743.333333333332,11.495077126806448,10.04733353515845
